ts,x_m,y_m,yaw_deg,pitch_deg,tof_mm,grid_x,grid_y,note
2025-08-12T12:03:31,0.0,0.0,0.0,-0.09,185,0,0,loop
2025-08-12T12:03:39,0.00184,0.0711,8.55,0.02,155,0,0,after_scan
2025-08-12T12:03:44,-0.00505,0.64438,89.69,-0.97,1500,1,0,after_move
2025-08-12T12:03:44,-0.00505,0.64438,89.69,-0.97,1500,1,0,loop
2025-08-12T12:03:49,-0.07552,0.65771,89.1,-1.1,1482,1,0,after_scan
2025-08-12T12:03:51,-0.05773,1.23229,88.02,-1.08,868,2,0,after_move
2025-08-12T12:03:51,-0.05773,1.23229,88.02,-1.08,868,2,0,loop
2025-08-12T12:03:57,-0.06575,1.23636,88.0,-1.15,758,2,0,after_scan
2025-08-12T12:03:59,-0.06075,1.80906,89.41,-1.21,253,3,0,after_move
2025-08-12T12:03:59,-0.06075,1.80906,89.41,-1.21,253,3,0,loop
2025-08-12T12:04:05,-0.18592,1.81235,89.41,-1.23,232,3,0,after_scan
2025-08-12T12:04:10,-0.766,1.79911,-179.27,0.02,892,3,-1,after_move
2025-08-12T12:04:10,-0.766,1.79911,-179.27,0.02,892,3,-1,loop
2025-08-12T12:04:15,-0.76285,1.84601,-178.47,0.15,906,3,-1,after_scan
2025-08-12T12:04:18,-1.34655,1.84944,179.67,-0.07,299,3,-2,after_move
2025-08-12T12:04:18,-1.34655,1.84944,179.67,-0.07,299,3,-2,loop
2025-08-12T12:04:25,-1.41106,1.721,179.31,0.17,204,3,-2,after_scan
2025-08-12T12:04:30,-1.40581,1.14632,-89.64,1.21,847,2,-2,after_move
2025-08-12T12:04:30,-1.40581,1.14632,-89.64,1.21,847,2,-2,loop
2025-08-12T12:04:36,-1.31543,1.15275,-88.78,1.16,842,2,-2,after_scan
2025-08-12T12:04:41,-0.73215,1.16296,0.19,-0.67,198,2,-1,after_move
2025-08-12T12:04:41,-0.73215,1.16296,0.19,-0.67,198,2,-1,loop
2025-08-12T12:04:45,-0.73371,1.16529,0.12,-0.62,208,2,-1,after_scan
2025-08-12T12:04:50,-0.74293,0.57724,-91.11,1.28,137,1,-1,after_move
2025-08-12T12:04:50,-0.74293,0.57724,-91.11,1.28,137,1,-1,loop
2025-08-12T12:04:55,-0.74285,0.64714,-91.56,1.39,210,1,-1,after_scan
2025-08-12T12:05:00,-1.31694,0.65322,179.29,0.05,102,1,-2,after_move
2025-08-12T12:05:00,-1.31694,0.65322,179.29,0.05,102,1,-2,loop
2025-08-12T12:05:17,-1.7107,0.55116,178.93,-0.53,440,1,-2,after_scan
