ts,event,x_m,y_m,yaw_deg,tof_mm,markers,scan_dir,wall_state
2025-08-11T12:39:12,move,0.000,0.000,0.0,177,,,
2025-08-11T12:39:12,scan,-0.000,0.000,-0.0,176,,North,blocked
2025-08-11T12:39:14,scan,-0.000,0.002,0.1,2948,,East,clear
2025-08-11T12:39:16,scan,0.001,0.003,0.1,745,,South,clear
2025-08-11T12:39:17,scan,0.004,0.003,0.2,6236,,West,clear
2025-08-11T12:39:25,move,0.009,-0.001,89.0,182,,,
2025-08-11T12:39:26,scan,0.006,-0.003,89.3,182,,North,blocked
2025-08-11T12:39:27,scan,0.007,-0.004,89.3,1030,,East,clear
2025-08-11T12:39:28,scan,0.007,-0.005,89.3,819,,South,clear
2025-08-11T12:39:35,move,-0.557,-0.196,88.9,1517,,,
2025-08-11T12:40:02,move,0.001,-0.000,0.1,834,,,
2025-08-11T12:40:03,scan,0.001,-0.001,0.1,834,,North,clear
2025-08-11T12:40:05,scan,-0.002,-0.001,0.2,188,,East,blocked
2025-08-11T12:40:07,scan,-0.004,-0.001,0.3,228,,South,blocked
2025-08-11T12:40:08,scan,-0.020,-0.012,8.6,221,,West,blocked
2025-08-11T12:40:15,move,0.551,0.134,-0.2,222,,,
2025-08-11T12:40:16,scan,0.569,0.139,-0.3,192,,North,blocked
2025-08-11T12:40:18,scan,0.568,0.138,-0.3,2193,,East,clear
2025-08-11T12:40:20,scan,0.566,0.136,-0.5,162,,West,blocked
2025-08-11T12:40:27,move,0.567,0.132,89.2,202,,,
2025-08-11T12:40:27,scan,0.568,0.129,89.6,204,,North,blocked
2025-08-11T12:40:29,scan,0.568,0.127,89.7,2189,,East,clear
2025-08-11T12:40:30,scan,0.567,0.126,89.7,880,,South,clear
2025-08-11T12:40:39,move,0.128,0.004,179.8,223,,,
2025-08-11T12:40:40,scan,0.073,-0.000,179.1,207,,East,blocked
2025-08-11T12:40:42,scan,0.072,-0.000,179.0,321,,South,blocked
